example_id,question,correct_answer,ocr_output_snippet,failure_type,notes
546fc06f-0ad0-4c77-b584-b6207ce85032,What banned substance led to 23 elite Chinese swimmers testing positive just before the last Summer Olympic Games?,a banned substance,"===== PAGE 0 ===== “All the News That’s Fit to Print” Che New York Cimes THE WEATHER Today, sunny, low humidity, a light breeze, high 78. Tonight, partly cloudy, light and variable winds, low 65. Tomorrow, clouds and sun, hu- mid, high 83. Weather map, Page 30. VOL. CLXXIII... No. 60,187 © 2024 The New York Times Company SUNDAY, JUNE 16, 2024 Prices in Canada may be higher $6.00 SA CAUGHT DOPING, STILL SWIMMING Chinese Athletes Failed More Than One Test By MICHAEL S. SCHMIDT and TARIQ PANJA Afte",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
108e0777-95b7-4925-a86c-deaf9dc701aa,"What percentage of the Firm's over-the-counter derivative transactions were subject to collateral agreements at December 31, 2021?",88%,"===== PAGE 68 ===== Lending-related commitments The Firm uses lending-related financial instruments, such as commitments (including revolving credit facilities) and guarantees, to address the financing needs of its clients. The contractual amounts of these financial instruments represent the maximum possible credit risk should the clients draw down on these commitments or when the Firm fulfills its obligations under these guarantees, and the clients subsequently fail to perform according to the ",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
95a75e2f-cedb-4dcd-acaf-9c00752e4b48,What is the projected total revenue for PUD No. 1 of Klickitat County in 2020 based on the 2016 budget?,"$54,705,108","===== PAGE 0 ===== PUD NO. 1 OF KLICKITAT COUNTY INCOME STATEMENT - COMBINED 2016 BUDGET (11/2/15 Forward Curve Prices) 2015 Budget 2016 2017 2018 2019 2020 [ RATE INCREASES (Jan 1st & Jul 1st) 3% & 3% 4% & 3% 3% & 0% 3% & 0% 2% & 0% REVENUE Rate Residential 13,935,749 15,375,550 16,479,531 17,268,573 17,796,611 18,162,728 Small General Service 770,922 854,519 923,750 975,966 1,014,459 1,044,232 Medium General Service 2,704,661 3,016,602 3,279,855 3,481,774 3,640,021 3,768,514 Large General Serv",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
8f3b3866-ea97-46d8-8c4b-fae58b4706e7,What was the percentage change in the number of beneficiaries receiving regular income benefits in Regina from August 2021 to August 2022?,-71.3,"===== PAGE 8 ===== The Daily, Thursday, October 20, 2022 Table 3 - continued Beneficiaries receiving regular income benefits,1 by census metropolitan category? — Seasonally adjusted August July August July to August 2021 July to August 2021 2021 2022P 2022P August 2022 to August August 2022 to August 2022 2022 Saskatchewan Census metropolitan areas 17,800 5,500 5,520 20 -12,280 0.4 -69.0 Regina 7,800 2,160 2,240 80 -5,560 3.7 71.3 Saskatoon 10,010 3,340 3,280 -60 -6,730 -1.8 -67.2 Census agglome",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
8960b388-5154-469f-86f5-c3e0c3b82238,What was the total amount of dividends paid by the company in 2007?,28878,"===== PAGE 16 ===== Statement of Changes in Equity for the year ended 31 December 2008 ~—Non-distributable Distributable Share Treasury Retained Total capital shares profits equity Company Note RM’000 RM’000 RM’000 RM’000 At 1 January 2007 336,000 (4,090) 11,120 343,030 Purchase of treasury shares - (1,471) - (1,471) Profit for the year - - 804,944 804,944 Dividends - 2006 final 25 - - (12,192) (12,192) - 2007 interim 25 - - (16,686) (16,686) At 31 December 2007 336,000 (5,561) 787,186 1,117,625",no_issue,"OCR clearly preserves the two dividend rows for 2007; the gold answer requires summing them, so this is a reasoning issue rather than an OCR failure."
6a34c854-1071-4d51-b6c5-9dacb4d7e28e,What type of substrates do adults of the species feed and spawn over in their preferred habitats?,"Gravel, cobble, boulder, and bedrock substrates with no, or very little, silt overlay.","===== PAGE 0 ===== 69438 Federal Register/Vol. 81, No. 194/Thursday, October 6, 2016/Rules and Regulations including the sicklefin redhorse sucker. The petition included supporting information regarding the species’ taxonomy and ecology, historical and current distribution, present status, and actual and potential causes of decline. In a partial 90-day finding on the petition to list 404 species, published on September 27, 2011 (76 FR 59836), the Service reaffirmed the existing candidate status ",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
4fc8bc09-c849-4c44-ad0a-361415754246,How many signatures were collected by abortion rights groups to put the constitutional amendment on the ballot in Arizona for November?,"577,971","===== PAGE 0 ===== “All the News That’s Fit to Print” Che New York Cimes THE WEATHER Today, sunshine and clouds, low humidity, high 85. Tonight, partly cloudy, low 69. Tomorrow, sun mix- ing with some clouds, low humidity, high 86. Weather map, Page B10. VOL. CLXXIII.... No. 60,246 © 2024 The New York Times Company WEDNESDAY, AUGUST 14, 2024 Prices in Canada may be higher $4.00 Israel Making New Demands In Gaza Talks Documents Signal Deal May Be Elusive This article is by Ronen Bergman, Patrick ",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
446d159e-b5c2-45dc-91cc-faaa931f3649,Is it mandatory for the NVIDIA partner network personnel or NVIDIA field service engineers to install the DGX A100 System?,Yes,"===== PAGE 27 ===== QUICK START AND BASIC OPERATION This chapter provides basic requirements and instructions for using the DGX A100 System, including how to perform a preliminary health check and how to prepare for running containers. Be sure to visit the DGX documentation website at https:// docs.nvidia.com/dgx/ for additional product documentation. 4.1. INSTALLATION AND CONFIGURATION IMPORTANT: It is mandatory that your DGX A100 System be installed by NVIDIA partner network personnel or NVIDI",no_issue,"The sentence explicitly says installation is mandatory; the answer is recoverable from OCR even though the gold label is just ""Yes""."
b6d2f720-6ec1-41cd-b32b-b8a6c73d26c7,What is the deadline for the Lessee to submit the Annual Plan of Operation and Maintenance to the Grantor when the Lessee may provide comments as a response to the Grantor updating the existing Master Master Plan affecting the premises during the lease term?,January 1 of each year,"===== PAGE 2 ===== c. In the event development plans substantially change during the lease term from those described in the Environment Impact Statement additional National Environmental Policy Act (NEPA) analysis will be required. d. The use and occupation of the premises shall be subject to the general supervision and approval of the Grantor. During the term of the lease, the Grantor will notify the Lessee of any updates to the existing project Master Plan affecting the premises and the Lessee",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
14dddbc7-b388-4ab6-8df7-6120a4c866ba,What is the payment amount Bioamber must pay Cargill upon achieving Milestone 1: Proof of Concept?,"US $250,000.00","===== PAGE 2 ===== 2.3 24 Bioamber shall also pay Cargill within thirty (30) days of achieving each of the milestones summarized below and more fully described in the Work Plan found in Exhibit A. For purposes of clarity, payment is triggered [***]. Further, each of the Milestones and Target Dates may be changed according to the needs of the Work Plan and upon written agreement by the parties. Milestone Target Date Payment Milestone 1: Proof of Concept 12 months after Effective Date US $250,000.",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
